Specific soil subtype,COUNTA of Specific soil subtype,BZE_fullname,WRB_correlation_1,WRB_correlation_2
BBn,240,Normbraunerde ,Eutric Cambisols,Brunic Arenosols
SSn,113,Normpseudogley,Eutric Planosols,
SS-BB,108,Braunerde — Pseudogley-Branuenerde,Gleyic Cambisols,
RZn,105,Normpararendzina,Calcaric Regosols,
YKn,82,Normkolluvisol,Colluvic Regosols,
BB-SS,53,Branuenerde-Pseudogley,Dystric Planosols,Eutric Planosols
SS-LL,50,Pseudogley-Parabranuenerde,Calcic Luvisols,Chromic Luvisols
LLn,49,Normparabranuenerde,Calcic Luvisols,Chromic Luvisols
GGn,41,Normgley,Dystric Gleysols,
GGa,33,Auengley,Dystric Gleysols,
ABn,33,Normvega,Calcaric Cambisols,
vGG-PP,31,AckerGley-Podsol,Gleyic Pozols,
LL-SS,31,Parabranuenerde-Pseudogley,Eutric Planosols,
sBBn,29,pseudovergleyteNormbraunerde ,Dystric Planosols,Eutric Planosols
GG-AB,28,Gley-Vega,Gleyic Cambisols,
KVn,27,Normerdniedermoor,Histosols (Eutric),Fibric Histosols
BB-RZ,27,Brauenerde-Pararendzina,Calcaric Regosols,Eutric Cambisols
LL-BB,25,Parabranuenerde-Brauenerde,Haplic Luvisols ,
SS-YK,24,Pseudogley-Kolluvisol,Anthrosols,
kBBn,23,kolluvialeNormbraunerde ,,
vLLn,21,AckerParabranuenerde,Haplic Luvisols,
TTn,21,Normtschernosem,Haplic Chernozems,
cYKn,21,kalkhaltigeNormkolluvisol,Calcaric Regosols,
BB-RQ,19,Branuenerde-Regosol,Dystric Regosols,
RQn,17,Normregosol,Dystric Regosols,
AB-GG,17,Vega-Gley,Dystric Gleysols,
YK/BB,15,Kolluvisol uber Brauenerde,Eutric Cambisols,
GG-BB,15,Gley-Brauenerde,Gleyic Cambisols,
BB-LF,15,Brauenerde-Fahlerde,Calcic Luvisols,Chromic Luvisols
vSS-LL,14,AckerPseudogley-Parabranuenerde,Calcic Luvisols,Chromic Luvisols
sLLn,14,pseudovergleyteNormparabraunerde ,Calcic Luvisols,Chromic Luvisols
eLLn,14,erodierteNormparabraunerde ,Calcic Luvisols,Chromic Luvisols
vSSn,13,AckerNormpseudogley,Eutric Planosols,
vBBn,13,AcknerNormbraunerde ,Eutric Cambisols,Brunic Arenosols
KHn,13,Normerdhochmoor,Histosols (Dystric),Fibric Histosols
BB-LL,13,Brauenerde-Parabrauenerde,Calcic Luvisols,Chromic Luvisols
vSS-PP,12,Pseudogley-Podsol,Stagnic Podzols,
sLL-BB,12,pseudovergleyteParabranuenerde-Brauenerde,Haplic Luvisols,
RZ-DD,12,Pararendzina-Pelosol,Calcaric Regosols,Vertic Cambisols
YYn,11,Normrigosol,Terric Anthrosols,
vYK-SS,11,AcknerKolluvisol-Pseudogley,Anthrosols,
vPP-GG,11,AckerPodsol-Gley,Dystric Gleysols,
SS-AB,11,Pseudogley-Vega,Eutric Cambisols,Dystric Planosols
MNb,11,Brackkleimarsch,Dystric Gleysols,
LF-BB,11,Fahlerde-Brauenerde,Albic Luvisols,
vBB-LL,10,AckerBrauenerde-Parabrauenerde,Calcic Luvisols,Chromic Luvisols
rKVn,10,reliktischeNormniedermoor,Histosols (Eutric),Fibric Histosols
LFn,10,Normfahlerde,Eutric Retisols,
bRQn,10,brauneNormregosol,Dystric Regosols,
TCn,9,,,
SSg,9,,,
s2BBn,9,,,
kSSn,9,,,
GG-PP-YU,9,,,
GG-PP,9,,,
eSS-LL,9,,,
eLL-BB,9,,,
cABn,9,,,
BB-TT,9,,,
YK/SS,8,,,
vPPn,8,,,
vLL-SS,8,,,
SS-GG,8,,,
rGGn,8,,,
MNf,8,,,
MCn,8,,,
eBBn,8,,,
BBh,8,,,
BB-RR,8,,,
>YKn,8,,,
vLL-BB,7,,,
SS-LF,7,,,
s.vLLn,7,,,
RRn,7,,,
g4BBn,7,,,
e.sLL-BB,7,,,
DDn,7,,,
cGGa,7,,,
YK-SS,6,,,
vSS-YK,6,,,
vPP-SS,6,,,
SGn,6,,,
MNn,6,,,
MKn,6,,,
MDn,6,,,
lBBn,6,,,
GGh,6,,,
GGe,6,,,
GG-YK,6,,,
g4SSn,6,,,
g2BBn,6,,,
DD-SS,6,,,
cAB-GG,6,,,
BB-DD,6,,,
AZn,6,,,
>GGn,6,,,
YK/LL-SS,5,,,
YK/LL,5,,,
vGG-AB,5,,,
sYKn,5,,,
SS-DD,5,,,
RZ,5,,,
rGG-BB,5,,,
PP-YU,5,,,
LL-SS-BB,5,,,
LFd-BB,5,,,
KV-KM,5,,,
GG-YE,5,,,
eBB-LL,5,,,
BBc,5,,,
BB-SS-LL,5,,,
BB-GG,5,,,
YK/TT,4,,,
YK/SS-BB,4,,,
YK/sBB,4,,,
YK/s2BB,4,,,
YK/LL-BB,4,,,
YK/eSS-LL,4,,,
YK/eLL,4,,,
YEn,4,,,
SSh,4,,,
sRQn,4,,,
S GG-PP,4,,,
rKMn,4,,,
PP-GG-YU,4,,,
p2GGn,4,,,
LLh,4,,,
KMn,4,,,
HN-YU,4,,,
gYKn,4,,,
GGw,4,,,
GG-YU,4,,,
GG-SS,4,,,
GG-AZ,4,,,
GG-AT,4,,,
g4.vSS-PP,4,,,
g2YKn,4,,,
g2SSn,4,,,
g2.vPPn,4,,,
e.vLLn,4,,,
dBBn,4,,,
cSSn,4,,,
CF-RR,4,,,
BB-CF,4,,,
>RZn,4,,,
>RQn,4,,,
>GG-YK,4,,,
YK/SS-LL,3,,,
YK/RZ,3,,,
YK/BB-LL,3,,,
vSS-BB,3,,,
vPP-BB,3,,,
vBB-RQ,3,,,
sTTn,3,,,
SSg-YK,3,,,
SS-RZ,3,,,
sLFn,3,,,
SH-BB,3,,,
sBB-LF,3,,,
sAB-GG,3,,,
s4BBn,3,,,
S SS-LL,3,,,
S LL-BB,3,,,
S LF-BB,3,,,
rGMn,3,,,
rGG-AB,3,,,
PP-GG,3,,,
LF-SS,3,,,
kSS-BB,3,,,
HH-YU,3,,,
gSS-BB,3,,,
gPP-YU,3,,,
GGi-PP-YU,3,,,
GGi,3,,,
GGc-GGa,3,,,
g4.vPPn,3,,,
g2SS-BB,3,,,
g2ABn,3,,,
eLL-SS,3,,,
e.vLL,3,,,
e.sLLn,3,,,
DDh,3,,,
cSS-DD,3,,,
cGG-AB,3,,,
CFn,3,,,
cDDn,3,,,
BBc-TT,3,,,
BB-SSg,3,,,
BB-LL-SS,3,,,
>YK,3,,,
YK/DD-SS,2,,,
YK-GG,2,,,
YE\GG-PP,2,,,
YE\BB,2,,,
YE/LL,2,,,
YE/BB,2,,,
vLLh,2,,,
vLLd,2,,,
vLL-TT,2,,,
vLFn,2,,,
vKVn,2,,,
vGGn,2,,,
vCFn,2,,,
vBB-TT,2,,,
vBB-SS,2,,,
vBB-RZ,2,,,
vBB-PP,2,,,
v.rGGn,2,,,
sYK/SS,2,,,
SSg-BB,2,,,
SS-YU,2,,,
SS-TT,2,,,
SS-rGG,2,,,
SS-BB/VV,2,,,
sRZn,2,,,
sLL-TT,2,,,
sLL,2,,,
sLF-BB,2,,,
SH-RZ,2,,,
sGGa,2,,,
sGG-YK,2,,,
sGG-AB,2,,,
sBB-LL,2,,,
s4YKn,2,,,
s2YKn,2,,,
s2TTn,2,,,
s2LL-BB,2,,,
s2.vLLn,2,,,
S vPPd,2,,,
S TCn,2,,,
S SS-AB,2,,,
S MKn,2,,,
S GGa,2,,,
S GG-BB,2,,,
S BB-LLd,2,,,
S BB-LL,2,,,
rKV-KM,2,,,
rKHn,2,,,
rGGh,2,,,
rGG-PP,2,,,
r.sBB/r.sBB-CF,2,,,
PP-GGe-YU,2,,,
nGGa,2,,,
MNb/HN,2,,,
MCf,2,,,
lRQn,2,,,
LL-TT,2,,,
LL-BB-SS,2,,,
KVc,2,,,
k.sBBn,2,,,
HNn,2,,,
GM-YU,2,,,
GGe-YU,2,,,
GGe-GGa,2,,,
GGe-BB,2,,,
GGa-SS,2,,,
gBBn,2,,,
gBB-RQ,2,,,
g4YKn,2,,,
g4PP-YU,2,,,
g2PP-YU,2,,,
g2BB-SS,2,,,
g2.vBBn,2,,,
g2.rBBn,2,,,
g2.r.vGGh,2,,,
g.rSS-BB,2,,,
eTT,2,,,
eSH-LL,2,,,
eLL-BB-SH,2,,,
e.sBB-LL,2,,,
cYYn,2,,,
cGGn,2,,,
c.rGHn,2,,,
bYE/SS,2,,,
bRRn,2,,,
BBc-RZ,2,,,
BB-YU,2,,,
BB-RN,2,,,
BB-LFd,2,,,
AQn,2,,,
>YK/BB,2,,,
>MNf,2,,,
>GGa,2,,,
>.cYK/RZ,2,,,
YY/LL-TC,1,,,
YY/LL,1,,,
YY/DD,1,,,
YY/BBc,1,,,
YK\SSg-BB,1,,,
YK\eLL-BB,1,,,
YK\eCF-LL,1,,,
YK/TC-LL,1,,,
YK/sTT,1,,,
YK/SSg-BB,1,,,
YK/sLL-BB,1,,,
YK/RR,1,,,
YK/rAB,1,,,
YK/r.gBB,1,,,
YK/GGn,1,,,
YK/GGc-BBc,1,,,
YK/GGa,1,,,
YK/GG,1,,,
YK/g4BB,1,,,
YK/g2SS,1,,,
YK/eSSg,1,,,
YK/eSS,1,,,
YK/eRR,1,,,
YK/eLL-SS,1,,,
YK/eLL-BB,1,,,
YK/eCF,1,,,
YK/DD-TT,1,,,
YK/DD,1,,,
YK/CF-RR,1,,,
YK/CF,1,,,
YK/c.eYK,1,,,
YK/BB-CF,1,,,
YK/a.cGM,1,,,
YK-YY,1,,,
YK-SS/eLL-SS,1,,,
YK-SS-GG,1,,,
YE\g2BB,1,,,
YE/sPP-BB,1,,,
YE/sGG,1,,,
YE/s2BB,1,,,
YE/PP-GG,1,,,
YE/PP,1,,,
YE/LL-BB,1,,,
YE/kGGe,1,,,
YE/GG-PP,1,,,
YE/g4BB,1,,,
YE/BB-PP,1,,,
YE-GG,1,,,
xGGa,1,,,
xBBn,1,,,
vYK/sLL-BB,1,,,
vYK-GG-SS,1,,,
vYE\SS-BB,1,,,
vTCn,1,,,
vSS-YK/g4.sLL-BB,1,,,
vSS-LFd,1,,,
vSS-LF,1,,,
vSS-GG-AB,1,,,
vSS-GG,1,,,
vSS-BBc,1,,,
vRZn,1,,,
vRRn,1,,,
vRQ\sAB,1,,,
vRQ-DD,1,,,
vRNn,1,,,
vPP/GG,1,,,
vPP-rGGe,1,,,
vPP-GGe,1,,,
vPP-GG-BB,1,,,
vPP-BB/SS,1,,,
vMKn,1,,,
vMDn,1,,,
vMCn,1,,,
vLLd-BB,1,,,
vLL/SS,1,,,
vLL-TC,1,,,
vLFd,1,,,
vKV\GH,1,,,
vKH\GG-PP,1,,,
vHNc,1,,,
vGGw,1,,,
vGGi-PP,1,,,
vGGe-PP,1,,,
vGGa,1,,,
vGG-LL,1,,,
