WRB4,count,h_wrb4
Lithic Leptosols,31009,Lithic Leptosols
NA's,30497,
Calcaric Cambisols,25517,Calcaric Cambisols
Eutric Leptosols,16331,Eutric Leptosols
Eutric Cambisols,14679,Eutric Cambisols
Calcaric Regosols,14000,Calcaric Regosols
Chromic Cambisols,13034,Chromic Cambisols
Rendzic Leptosols,10661,Rendzic Leptosols
Eutric Regosols,10304,Eutric Regosols
Eutric Fluvisols,9331,Eutric Fluvisols
Chromic Luvisols,8246,Chromic Luvisols
Haplic Calcisols,8211,Haplic Calcisols
Haplic Luvisols,8113,Haplic Luvisols
Haplic Acrisols,7518,Haplic Acrisols
Calcaric Fluvisols,7483,Calcaric Fluvisols
Dystric Cambisols,5999,Dystric Cambisols
Dystric Gleysols,5271,Dystric Gleysols
Haplic Vertisols,4781,Haplic Vertisols
Haplic Lixisols,4746,Haplic Lixisols
Eutric Gleysols,4627,Eutric Gleysols
Nudilithic Leptosols,4431,Nudilithic Leptosols
Haplic Cryosols,4410,Haplic Cryosols
Rustic Podzols,4298,Rustic Podzols
Haplic Solonetz,4284,Haplic Solonetz
Arenosols,4256,Calcaric Arenosols
Eutric Planosols,4235,Eutric Planosols
Calcic Luvisols,4039,Calcic Luvisols
Petric Calcisols,4032,Petric Calcisols
Dystric Regosols,3996,Dystric Regosols
Haplic Phaeozems,3696,Haplic Phaeozems
Haplic Ferrasols,3493,Haplic Ferrasols
Calcic Kastanozems,3150,Calcic Kastanozems
Ferric Luvisols,3136,Ferric Luvisols
Albic Podzols,3094,Albic Podzols
Fibric Histosols,3073,Fibric Histosols
Mollic Gleysols,2961,Mollic Gleysols
Ferric Lixisols,2856,Ferric Lixisols
Calcic Vertisols,2814,Calcic Vertisols
Ferric Acrisols,2814,Ferric Acrisols
Haplic Solonchaks,2758,Haplic Solonchaks
Dystric Leptosols,2597,Dystric Leptosols
Brunic Arenosols,2583,Brunic Arenosols
Mollic Leptosols,2569,Mollic Leptosols
Rhodic Ferrasols,2527,Rhodic Ferrasols
Eutric Retisols,2401,Eutric Retisols
Gleyic Luvisols,2345,Gleyic Luvisols
Haplic Kastanozems,2338,Haplic Kastanozems
Dystric Fluvisols,2296,Dystric Fluvisols
Cambic Umbrisols,2282,Cambic Umbrisols
Luvic Phaeozems,2233,Luvic Phaeozems
Calcaric Arenosols,2170,Calcaric Arenosols
Umbric Gleysols,2121,Umbric Gleysols
Rhodic Nitisols,2065,Rhodic Nitisols
Xanthic  Ferrasols,2065,Xanthic Ferrasols
Vertisols,2044,Haplic Vertisols
Ferralic Cambisols,2009,Ferralic Cambisols
Nitisols,1848,Rhodic Nitisols
Gleyic Retisols,1722,Gleyic Retisols
Claric Arenosols,1715,Claric Arenosols
Histosols,1715,Fibric Histosols
Luvic Calcisols,1694,Luvic Calcisols
Gleyic Cambisols,1666,Gleyic Cambisols
Gleyic Solonetz,1645,Gleyic Solonetz
Umbric Leptosols,1638,Umbric Leptosols
Protoargic Arenosols,1603,Protoargic Arenosols
Gleyic Podzols,1596,Gleyic Podzols
Vertic Cambisols,1505,Vertic Cambisols
Albic Plinthosols,1379,Albic Plinthosols
Open Water,1337,Open Water
Fluvic Solonchaks,1330,Fluvic Solonchaks
Haplic Chernozems,1281,Haplic Chernozems
Regosols,1211,Calcaric Regosols
Luvic Kastanozems,1197,Luvic Kastanozems
Greyzemic Phaeozems,1169,Greyzemic Phaeozems
Acric Umbrisols,1155,Acric Umbrisols
Gleysols,1148,Dystric Gleysols
Luvic Chernozems,1120,Luvic Chernozems
Calcic Gleysols,1085,Calcic Gleysols
Dystric Planosols,1085,Dystric Planosols
Technosols,1050,Technosols
Sapric Histosols,1043,Sapric Histosols
Calcic Chernozems,1036,Calcic Chernozems
Calcic Solonchaks,1036,Calcic Solonchaks
Eutric Plinthosols,994,Eutric Plinthosols
Albic Luvisols,973,Albic Luvisols
Haplic Plinthosols,945,Haplic Plinthosols
Cambic Cryosols,910,Cambic Cryosols
Luvic Stagnosols,896,Luvic Stagnosols
Arenic Gleysols,868,Arenic Gleysols
Umbric Ferrasols,798,Umbric Ferrasols
Vitric Andosols,798,Vitric Andosols
Umbric Andosols,791,Umbric Andosols
Calcic Gypsisols,742,Calcic Gypsisols
Dystric Plintohsols,728,Dystric Plintohsols
Solonchaks,616,Haplic Solonchaks
Andosols,595,Vitric Andosols
Gleyic Acrisols,581,Gleyic Acrisols
Gleyic Phaeozems,574,Gleyic Phaeozems
Entic Podzols,560,Entic Podzols
Fluvisols,553,Eutric Fluvisols
Haplic Alisols,553,Haplic Alisols
Vertic Luvisols,518,Vertic Luvisols
Mollic  Andosols,490,Mollic Andosols
Thionic Gleysols,483,Thionic Gleysols
Retic Stagnosols,476,Retic Stagnosols
Mollic Solonetz,441,Mollic Solonetz
Petric Gypsisols,434,Petric Gypsisols
Carbic Podzols,385,Carbic Podzols
Dystric Retisols,364,Dystric Retisols
Gypsisols,343,Petric Gypsisols
Calcic Solonetz,329,Calcic Solonetz
Haplic Gypsisols,329,Haplic Gypsisols
Plinthosols,315,Plinthosols
Podzols,287,Rustic Podzols
Fluvic Phaeozems,259,Fluvic Phaeozems
Alic Umbrisols,245,Alic Umbrisols
Anthrosols,203,Anthrosols
Folic Histosols,196,Folic Histosols
Stagnic Solonetz,196,Stagnic Solonetz
Gleyic Lixisols,182,Gleyic Lixisols
Gypsic Solonchaks,168,Gypsic Solonchaks
Geric Plinthosols,154,Geric Plinthosols
Haplic Umbrisols,147,Haplic Umbrisols
Cambisols,133,Calcaric Cambisols
Hypersalic Solonchaks,133,Hypersalic Solonchaks
Fluvic Umbrisols,126,Fluvic Umbrisols
Geric Ferralsols,126,Geric Ferralsols
Ferrasols,119,Haplic Ferrasols
Leptic Cryosols,112,Leptic Cryosols
Lixic Plinthosols,112,Lixic Plinthosols
Mollic Solonchaks,112,Mollic Solonchaks
Luvisols,105,Eutric Fluvisols
Mollic Stagnosols,105,Mollic Stagnosols
Acrisols,91,Haplic Acrisols
Solonetz,91,Haplic Solonetz
Thionic Histosols,91,Thionic Histosols
Glaciers,86,Glaciers
Kastanozems,84,Haplic Kastanozems
Gypsiric Regosols,77,Gypsiric Regosols
Chernozems,70,Haplic Chernozems
Umbric Planosols,70,Umbric Planosols
Tonguic Chernozems,63,Tonguic Chernozems
Ferric Alisols,56,Ferric Alisols
Gleyic Alisols,56,Gleyic Alisols
Lixic Stagnosols,56,Lixic Stagnosols
Planosols,56,Eutric Planosols
Sideralic Arenosols,56,Sideralic Arenosols
Phaeozems,49,Haplic Phaeozems
Leptosols,49,Lithic Leptosols
No Data,49,
Sulfidic Gleysols,49,Sulfidic Gleysols
Gleyic Chernozems,35,Gleyic Chernozems
Gypsic Vertisols,35,Gypsic Vertisols
Andic Cryosols,28,Andic Cryosols
Calcisols ,21,Haplic Calcisols
Alic Stagnosols,14,Alic Stagnosols
