URL,Series_name,Map,Soil subgroup UK,WRB_correlation_landgis,WRB_correlation_0,WRB_correlation_1,WRB_correlation_2
https://www.landis.org.uk/soilsguide/series.cfm?serno=1157,6.32 LEZIATE (Lez) (1157),,2 humus podzols,Albic Carbic Podzols,Albic Carbic Podzols,Albic Carbic Podzols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=111,7.21 BEACON (Bcn) (111),,1 cambic stagnohumic gley soils,Endoleptic Albic Histic Stagnosols,Albic Histic Endoleptic Stagnosols,Albic Histic Endoleptic Stagnosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=502,7.13 FENTON (Fn) (502),,3 cambic stagnogley soils,Ruptic Albic Mollic Planosols,Albic Mollic Planosols (Ruptic),Albic Mollic Planosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1807,6.31 SANTON (sN) (1807),,1 humo-ferric podzols,Ruptic Albic Podzols,Albic Planosols (Ruptic),Albic Planosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1801,5.13 ST LAWRENCE (Sl) (1801),,3 stagnogleyic brown calcareous earths,Ruptic Albic Podzols,Albic Planosols (Ruptic),Albic Planosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1104,6.33 LARKBARROW (Lz) (1104),,3 ferric podzols,Albic Podzols,Albic Podzols,Albic Podzols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=127,6.33 BODAFON (Bm) (127),,3 ferric podzols,Albic Podzols,Albic Podzols,Albic Podzols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1705,6.31 REDLODGE (Ro) (1705),,1 humo-ferric podzols,Albic Podzols,Albic Podzols,Albic Podzols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1825,6.31 SHIRRELL HEATH (sR) (1825),,1 humo-ferric podzols,Albic Podzols,Albic Podzols,Albic Podzols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=242,6.31 CRANNYMOOR (Cf) (242),,1 humo-ferric podzols,Albic Podzols,Albic Podzols,Albic Podzols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=320,7.14 DUNKESWELL (Ds) (320),,4 paleo-argillic stagnogley soils,Chromic Alic Planosols,Alic Planosols (Chromic) ,Alic Planosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=416,7.14 ESSENDON (Ez) (416),,4 paleo-argillic stagnogley soils,Chromic Alic Planosols,Alic Planosols (Chromic) ,Alic Planosols,
