WRB,count,h_wrb4,h_wrb4.2
Cambisol,2527,Calcaric Cambisols,Eutric Cambisols
Luvisol,2384,Chromic Luvisols,Haplic Luvisols
Regosol,1682,Calcaric Regosols,Eutric Regosols
Vertisol,1651,Haplic Vertisols,Calcic Vertisols
Arenosol,1229,Brunic Arenosols,Calcaric Arenosols
Calcisol,1073,Haplic Calcisols,Petric Calcisols
Gleysol,990,Dystric Gleysols,Eutric Gleysols
Fluvisol,926,Eutric Fluvisols,Calcaric Fluvisols
Acrisol,903,Haplic Acrisols,Ferric Acrisols
Phaeozem,804,Haplic Phaeozems,Luvic Phaeozems
Leptosol,668,Lithic Leptosols,Eutric Leptosols
Chernozem,590,Haplic Chernozems,Luvic Chernozems
Ferralsol,590,Geric Ferralsols,Geric Ferralsols
Lixisol,523,Haplic Lixisols,Ferric Lixisols
Umbrisol,427,Cambic Umbrisols,Acric Umbrisols
Histosol,407,Fibric Histosols,Sapric Histosols
Alisol,405,Haplic Alisols,Ferric Alisols
Planosol,361,Eutric Planosols,Dystric Planosols
Podzol,336,Rustic Podzols,Albic Podzols
Solonetz,284,Haplic Solonetz,Gleyic Solonetz
Kastanozem,271,Calcic Kastanozems,Haplic Kastanozems
Andosol,268,Vitric Andosols,Umbric Andosols
Nitisol,266,Rhodic Nitisols,Rhodic Nitisols
Gypsisol,265,Calcic Gypsisols,Petric Gypsisols
Solonchak,260,Haplic Solonchaks,Fluvic Solonchaks
Anthrosol,243,Anthrosols,Hortic Anthrosols
Cryosol,111,Haplic Cryosols,Cambic Cryosols
Plinthosol,107,Albic Plinthosols,Eutric Plinthosols
Albeluvisol,106,Eutric Retisols,Gleyic Retisols
"Acric Ferralsol Ferric,Xanthic",103,"Acric Ferralsol Ferric, Xanthic",
Rendzic Leptosol Humic,103,Rendzic Leptosol Humic,
Stagnosol,82,Luvic Stagnosols,
Litic Leptosol Esqueletic,75,Litic Leptosol Esqueletic,
Chromic Luvisol,68,Chromic Luvisol,
Esqueletic Leptosol Rendzic,66,Esqueletic Leptosol Rendzic,
Epileptic Phaeozem Humic,62,Epileptic Phaeozem Humic,
Esqueletic Leptosol Molic,60,Esqueletic Leptosol Molic,
Epileptic Regosol Esqueletic,53,Epileptic Regosol Esqueletic,
Rhodic Lixisol,53,Rhodic Lixisol,
Epipetric Calcisol,51,Epipetric Calcisol,
Chromic Lixisol,50,Chromic Lixisol,
Eutric Cambisol,49,Eutric Cambisol,
Eutric Fluvisol,47,Eutric Fluvisol,
Haplic Luvisol,45,Haplic Luvisol,
Esqueletic Leptosol Calcaric,42,Esqueletic Leptosol Calcaric,
Esqueletic Leptosol Eutric,42,Esqueletic Leptosol Eutric,
Eutric Vertisol,41,Eutric Vertisol,
Endoleptic Phaeozem Luvic,39,Endoleptic Phaeozem Luvic,
Ferric Luvisol,37,Ferric Luvisol,
Plinthic Acrisol,37,Plinthic Acrisol,
Litic Leptosol Humic,36,Litic Leptosol Humic,
Endoleptic Phaeozem Humic,35,Endoleptic Phaeozem Humic,
Haplic Lixisol,35,Haplic Lixisol,
Eutric Leptosol,34,Eutric Leptosol,
Luvic Calcisol Aridic,34,Luvic Calcisol Aridic,
Rhodic Acrisol,34,Rhodic Acrisol,
Chromic Acrisol,33,Chromic Acrisol,
Luvic Calcisol,33,Luvic Calcisol,
Eutric Gleysol,32,Eutric Gleysol,
Rhodic Cambisol,31,Rhodic Cambisol,
Epipetric Calcisol Esqueletic,30,Epipetric Calcisol Esqueletic,
Molic Leptosol,30,Molic Leptosol,
Calcic Chernozem Luvic,29,Calcic Chernozem Luvic,
Eutric Regosol,29,Eutric Regosol,
Epipetric Calcisol Humic,27,Epipetric Calcisol Humic,
Eutric Arenosol,27,Eutric Arenosol,
Epileptic Regosol Calcaric,26,Epileptic Regosol Calcaric,
Haplic Phaeozem,26,Haplic Phaeozem,
Luvic Phaeozem,26,Luvic Phaeozem,
Epileptic Phaeozem Luvic,25,Epileptic Phaeozem Luvic,
Epileptic Regosol Humic,25,Epileptic Regosol Humic,
Luvic Phaeozem Humic,25,Luvic Phaeozem Humic,
Rhodic Nitisol,25,Rhodic Nitisol,
Rubic Arenosol,25,Rubic Arenosol,
Calcic Luvisol,24,Calcic Luvisol,
Endoleptic Luvisol Humic,24,Endoleptic Luvisol Humic,
Epipetric Calcisol Aridic,23,Epipetric Calcisol Aridic,
Calcaric Cambisol,22,Calcaric Cambisol,
Epileptic Phaeozem Esqueletic,22,Epileptic Phaeozem Esqueletic,
Endoleptic Cambisol Humic,20,Endoleptic Cambisol Humic,
Gleyic Vertisol Humic,20,Gleyic Vertisol Humic,
Litic Leptosol Eutric,20,Litic Leptosol Eutric,
"Pellic,Calcic Vertisol",20,"Pellic, Calcic Vertisol",
Endoleptic Luvisol Esqueletic,19,Endoleptic Luvisol Esqueletic,
Epileptic Luvisol Humic,19,Epileptic Luvisol Humic,
Epileptic Regosol Eutric,19,Epileptic Regosol Eutric,
Gleyic Planosol,19,Gleyic Planosol,
