number,filename.lst,d.lst
1,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/acric.ferralsols.ferric..xanthic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Acric.Ferralsols.Ferric..Xanthic_p_
2,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/acric.umbrisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Acric.Umbrisols_p_
3,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/acric.xanthic.ferralsols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Acric.Xanthic.Ferralsols_p_
4,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/albic.arenosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Albic.Arenosols_p_
5,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/albic.luvisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Albic.Luvisols_p_
6,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/albic.plinthosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Albic.Plinthosols_p_
7,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/albic.podzol_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Albic.Podzol_p_
8,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/albic.podzols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Albic.Podzols_p_
9,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/albic.solonetz_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Albic.Solonetz_p_
10,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/alic.umbrisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Alic.Umbrisols_p_
11,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/anthrosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Anthrosols_p_
12,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/arenic.gleysols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Arenic.Gleysols_p_
